player_name,poss,net_rapm,orapm,drapm,rapm_reconstructed,residual,ots,otov,oreb,otrans,dts,dtov,dreb,dtrans
Li Meng,1843,-0.083,0.376,-0.459,-0.008,-0.075,-0.0017380525048783513,-0.00029079600250556115,-0.05344300712929906,0.011534970919627963,-0.015828076230509747,0.002750191426504095,-0.005493743356783959,0.0025287475374269897
Mikiah Herbert Harrigan,942,-0.104,-0.088,-0.015,0.785,-0.889,0.004059935512979562,-0.007655505719890404,-0.03575189791685496,-0.014367201730540513,0.041372659178591176,-0.028830000293509517,-0.040753787586193135,0.0017266066668641944
Dorka Juhasz,5083,-0.117,-0.856,0.739,0.695,-0.812,-0.005284526923519883,-0.0016908666278858397,-0.0036909170198376473,-0.00471003884683302,0.01575165608421064,-0.00011318893246106687,-0.01668906046469748,0.00048328244616357985
Kristy Wallace,3165,-0.13,-0.84,0.71,-0.376,0.246,0.002460995431286195,0.0021937288469420224,0.016470683391720975,-0.0021023980493528605,-0.019843368444710463,-0.016366829638013836,-0.012006668027203016,-0.015572854919219059
Dearica Hamby,10866,-0.158,-1.515,1.357,-0.056,-0.102,0.002100446549353485,0.00456320940123342,-0.011390307744822581,0.014217462176417894,-0.016315630784103363,-0.0011936149071642144,-0.0016582633327330287,-0.00394866580258596
Lindsay Allen,6527,-0.175,3.318,-3.493,-0.07,-0.105,-0.007757306871688019,-0.004945902363879789,0.033525165536096635,-0.01116604816168687,-0.0038060525257733735,-0.01852418895058039,0.013566915443452343,-0.014657950930116626
Chloe Bibby,896,-0.212,0.294,-0.506,0.263,-0.475,0.03526102404902831,-0.0011685605881596728,-0.004487960712323713,0.009222160367283572,-0.02047951835727191,-0.0254741598379202,0.011449467673830677,0.017996204306911512
Alysha Clark,10744,-0.228,-3.857,3.629,1.266,-1.494,0.010475293126319563,-0.010238666898623017,-0.05137308823482448,0.005369319058611821,0.009745641915776704,-0.005199546055864007,0.03320495356724759,-0.0013847388989911558
Linnae Harper,237,-0.229,-0.517,0.288,-2.225,1.996,-0.028552623050102643,0.04980067399005117,0.049739343514980494,-0.045365386848507855,-0.06964146651528336,0.041650806299753235,-0.05016669394233092,-0.028729796964544307
Emma Meesseman,1485,-0.253,0.142,-0.396,1.627,-1.88,0.049555587045245875,0.01683525199101349,-0.04175249797686098,-0.03051052614326724,0.039173552134340484,-0.018899490610060132,-0.02681452821728386,0.026004955332422308
